sequence_id,date
A/Guyane/4/2018,2017.99
A/Guyane/13/2018,2018.004
A/Serbia/2864/2017,2017.974
A/Michigan/272/2017-egg,2017.544
A/Pakistan/317/2017,2017.867
A/Ecuador/533/2017,2017.848
A/Vietnam/Lisn18202/2018,2018.599
A/Vietnam/Lisn18172/2018,2018.541
A/Vietnam/216/2018,2018.7
A/Brazil/5026/2017,2017.484
A/AbuDhabi/18/2017,2017.815
A/India/3405/2017,2017.708
A/Tanzania/4761/2017,2017.914
A/Tula/43/2018,2017.078
A/Toulon/2336/2017,2017.944
A/Latvia/11-082656/2017,2017.914
A/Bolivia/290/2018,2018.347
A/Bolivia/950/2018,2018.295
A/Switzerland/2656/2017-egg,2017.971
A/Macedonia/584/2019,2019.251
A/Thessaloniki/58a/2018,2018.018
A/Taiwan/80730/2018,2018.489
A/Taiwan/80693/2018,2018.451
A/SaudiArabia/53/2017,2017.481
A/Zambia/4-334/2018,2018.618
A/Maldives/940/2018,2018.426
A/Maldives/395/2018,2018.377
A/Uganda/6675/2018,2018.311
A/Albania/7956/2018,2018.042
A/Kazakhstan/581/2018,2018.13
A/SuratThani/80/2018,2018.221
A/CzechRepublic/85/2018,2018.023
A/Uganda/6108/2018,2018.347
A/Taiwan/81214/2018,2018.933
A/Zhejiang-Haishu/SWL11341/2018,2018.648
A/Wellington/5/2018,2018.486
A/Victoria/906/2018,2018.73
A/Lithuania/MB12533/2018,2018.308
A/Estonia/113499/2018,2018.237
A/Sydney/31/2018,2018.221
A/Bangladesh/529/2018,2018.56
A/Valladolid/559/2018,2018.73
A/Bangladesh/237/2018,2018.714
A/Iceland/74/2019,2019.407
A/StPetersburg/RII-258/2019,2019.193
A/Bahrain/525/2018,2018.804
A/Yokosuka/59/2018,2018.982
A/Ireland/84630/2018,2018.908
A/AbuDhabi/108/2018,2018.73
A/Ystrad_Pentre/9579/2019,2019.048
A/Bangladesh/9012/2018,2018.615
A/Suriname/661/2019,2019.363
A/Poland/876/2019,2019.212
A/Kyiv/359/2017,2017.051
A/Switzerland/3330/2017-egg,2017.968
A/DominicanRepublic/267/2018,2018.204
A/Poland/991/2018,2018.24
A/Catalonia/NSVH779507/2018,2018.127
A/Bolivia/171/2018,2018.16
A/Yaroslavl/175-T/2018,2018.237
A/SierraLeone/145/2018,2018.749
A/Yaounde/19V-935/2019,2019.095
A/Nigeria/3626/2018,2018.851
A/Wyoming/30/2017,2017.927
A/Tokyo/18069/2018,2018.536
A/Netherlands/737/2018,2018.07
A/Suriname/242/2018,2018.563
A/DominicanRepublic/493/2018,2018.41
A/Iowa/12/2019-egg,2019.434
A/Iowa/12/2019,2019.108
A/Wyoming/1/2019,2019.004
