sequence_id,date,clade,subclade,region,country
A/Oman/4262/2019,2019.481,3C.2a1b.2,E,West Asia,Oman
A/Pakistan/1213/2019,2019.108,3C.2a1b.2,E,West Asia,Pakistan
A/Moldova/147/2019,2019.051,3C.2a1b.2,E,Europe,Moldova
A/Qatar/16-VI-19-0049409/2019,2019.653,3C.2a1b.2a,E.1,West Asia,Qatar
A/Christchurch/502/2020,2020.253,3C.2a1b.2a,E.1,Oceania,New Zealand
A/Abudhabi/59/2019,2019.659,3C.2a1b.2a,E.1,West Asia,United Arab Emirates
A/Victoria/2855/2019,2019.81,3C.2a1b.2a,E.1,Oceania,Australia
A/AbuDhabi/85/2019,2019.897,3C.2a1b.2a,E.1,West Asia,United Arab Emirates
A/Iceland/82/2019,2019.815,3C.2a1b.2a,E.1,Europe,Iceland
A/Yokohama/168/2019,2019.722,3C.2a1b.2a,E.1,Japan Korea,Japan
A/Michigan/437/2019,2019.653,3C.2a1b.2a,E.1,North America,USA
A/Bahrain/835/2019,2019.944,3C.2a1b.2a,E.1,West Asia,Bahrain
A/Singapore/TT0043/2020,2020.015,3C.2a1b.2a,E.1,Southeast Asia,Singapore
A/Brandenburg/28/2019,2019.9,3C.2a1b.2a,E.1,Europe,Germany
A/Anantnag/AG_159/2019,2019.914,3C.2a1b.2a,E.1,South Asia,India
A/Fujian-Xinluo/1684/2020,2020.288,3C.2a1b.2a,E.1,China,China
A/Philippines/25/2020,2020.102,3C.2a1b.2a,E.1,Southeast Asia,Philippines
A/Yokohama/187/2019,2019.758,3C.2a1b.2a,E.1,Japan Korea,Japan
A/Bhutan/885/2019,2019.538,3C.2a1b.2a,E.1,South Asia,Bhutan
A/Bhutan/162/2019,2019.618,3C.2a1b.2a,E.1,South Asia,Bhutan
A/Bhutan/1095/2019,2019.733,3C.2a1b.2a,E.1,South Asia,Bhutan
A/SriLanka/55/2019,2019.971,3C.2a1b.2a,E.1,South Asia,Sri Lanka
A/Utah/53/2019,2019.848,3C.2a1b.2a,E.1,North America,USA
A/SriLanka/65/2020,2020.018,3C.2a1b.2a,E.1,South Asia,Sri Lanka
A/Kitakyushu/1/2020,2020.583,3C.2a1b.2a,E.1,Japan Korea,Japan
A/SriLanka/58/2020,2020.143,3C.2a1b.2a,E.1,South Asia,Sri Lanka
A/Saitama/92/2020,2020.255,1,F,Japan Korea,Japan
A/Tasmania/503/2020,2020.127,1,F,Oceania,Australia
A/Tasmania/503/2020-egg,2020.127,1,F,Oceania,Australia
A/Miyagi/2/2021,2021.166,1,F,Japan Korea,Japan
A/TimorLeste/17/2020,2020.51,1,F,Southeast Asia,East Timor
A/TimorLeste/2/2020,2020.654,1,F,Southeast Asia,East Timor
A/TimorLeste/43/2021,2021.081,1,F,Southeast Asia,East Timor
A/TimorLeste/8/2022,2022.048,1,F,Southeast Asia,East Timor
A/Darwin/2/2021,2021.158,1,F,Oceania,Australia
A/Thailand/5/2021,2021.478,1a,F.1,Southeast Asia,Thailand
A/Cambodia/e0826360/2020,2020.999,1a,F.1,Southeast Asia,Cambodia
A/Cambodia/e0826360/2020-egg,2020.54,1a,F.1,Southeast Asia,Cambodia
A/Cambodia/nC_106184/2020,2020.835,1a,F.1,Southeast Asia,Cambodia
A/Lao/1745/2020,2020.717,1a,F.1,Southeast Asia,Laos
A/Lao/1421/2021,2021.278,1a,F.1,Southeast Asia,Laos
A/Lao/799/2021,2021.163,1a,F.1,Southeast Asia,Laos
A/Vietnam/Vnhcm-Gs520/2020,2020.807,1a,F.1,Southeast Asia,Vietnam
A/California/55/2020,2020.78,1a,F.1,North America,USA
A/Cambodia/925256/2020,2020.734,1a,F.1,Southeast Asia,Cambodia
A/Lao/580/2021,2021.141,1a,F.1,Southeast Asia,Laos
A/Vietnam/Vnhcm-Gs653/2019,2019.979,1a,F.1,Southeast Asia,Vietnam
A/Yamagata/2/2021,2021.108,1a,F.1,Japan Korea,Japan
A/Guangxi-Fangcheng/11111/2021,2021.727,1a.1,F.1.1,China,China
A/Guangxi/7240/2021,2021.938,1a.1,F.1.1,China,China
A/Zhejiang-Shangcheng/1915/2022,2022.61,1a.1,F.1.1,China,China
A/Guangdong-Zhongshan/1443/2022,2022.371,1a.1,F.1.1,China,China
A/Zhejiang-yongkang/1312/2022,2022.199,1a.1,F.1.1,China,China
A/Yunnan-Zhenxiong/51/2023,2023.089,1a.1,F.1.1,China,China
A/Zhejiang-Nanhu/11082/2022,2022.812,1a.1,F.1.1,China,China
A/Yunnan-Lushui/1989/2022,2022.248,1a.1,F.1.1,China,China
