sequence_id,date,clade,subclade,region,country
A/Vietnam/6053/2016,2016.324,6B.1,unassigned,Southeast Asia,Vietnam
A/Nepal/527/2016,2016.193,6B.1,unassigned,South Asia,Nepal
A/SriLanka/10/2016,2016.4,6B.1,unassigned,South Asia,Sri Lanka
A/SriLanka/15/2016,2016.455,6B.1,unassigned,South Asia,Sri Lanka
A/Perugia/26/2016,2016.272,6B.1,unassigned,Europe,Italy
A/Tunisia/1033/2017,2017.07,6B.1,unassigned,Africa,Tunisia
A/Roraima/139333-IEC/2016,2016.239,6B.1,unassigned,South America,Brazil
A/Ulaanbaatar/3018/2015,2015.895,6B.1,unassigned,West Asia,Mongolia
A/Ulaanbaatar/3494/2016,2016.969,6B.1,unassigned,West Asia,Mongolia
A/Yamagata/186/2016,2016.318,6B.1,unassigned,Japan Korea,Japan
A/Paraguay/1919/2016,2016.578,6B.1,unassigned,South America,Paraguay
A/HongKong/2352/2016,2016.589,6B.1,unassigned,China,Hong Kong
A/Brazil/8394/2016,2016.641,6B.1,unassigned,South America,Brazil
A/Wisconsin/94/2016,2016.908,6B.1,unassigned,North America,USA
A/Wisconsin/38/2017,2017.199,6B.1,unassigned,North America,USA
A/Wisconsin/99/2016,2016.933,6B.1,unassigned,North America,USA
A/California/45/2017,2017.116,6B.1,unassigned,North America,USA
A/Montana/50/2016,2016.775,6B.1,unassigned,North America,USA
A/Montana/50/2016-egg,2016.775,6B.1,unassigned,North America,USA
A/SantaCatarina/92/2017,2017.163,6B.1,unassigned,South America,Brazil
A/Brazil/526/2017,2017.095,6B.1,unassigned,South America,Brazil
A/SaudiArabia/78741/2015,2015.733,6B.1,unassigned,West Asia,Saudi Arabia
A/Wisconsin/89/2015,2015.9,6B.1,unassigned,North America,USA
A/Montenegro/98/2016,2016.133,6B.1,unassigned,Europe,Montenegro
A/Sachsen/68/2016,2016.277,6B.1,unassigned,Europe,Germany
A/Zaporizhia/626/2016,2016.168,6B.1,unassigned,Europe,Ukraine
A/Tunisia/4209/2016,2016.225,6B.1,unassigned,Africa,Tunisia
A/LaReunion/2020/2016,2016.499,6B.1,unassigned,Europe,France
A/Zhejiang-Dinghai/SWL1346/2016,2016.337,6B.1,unassigned,China,China
A/Wyoming/20/2015,2015.99,6B.1,unassigned,North America,USA
A/Fiji/3/2016,2016.335,6B.1,unassigned,Oceania,Fiji
A/Fiji/3/2016-egg,2016.335,6B.1,unassigned,Oceania,Fiji
A/Mexico/4115/2016,2016.411,6B.1,unassigned,North America,Mexico
A/SouthAfrica/R4066/2016,2016.477,6B.1,unassigned,Africa,South Africa
A/Mexico/4262/2016,2016.643,6B.1,unassigned,North America,Mexico
A/Mexico/4213/2016,2016.57,6B.1,unassigned,North America,Mexico
A/Colombia/973/2016,2016.783,6B.1,unassigned,South America,Colombia
A/Utah/25/2017,2017.292,6B.1,unassigned,North America,USA
A/Mozambique/344/2017,2017.678,6B.1,unassigned,Africa,Mozambique
A/Vietnam/6045/2016,2016.433,6B.1,unassigned,Southeast Asia,Vietnam
A/SouthAfrica/5148/2016,2016.553,6B.1,unassigned,Africa,South Africa
A/Zhejiang-Kecheng/SWL1328/2016,2016.296,6B.1,unassigned,China,China
A/SouthAustralia/16/2017,2017.042,6B.1,unassigned,Oceania,Australia
A/Yunnan-Maoshi/SWL1836/2016,2016.813,6B.1,unassigned,China,China
A/Sapporo/94/2016,2016.87,6B.1,unassigned,Japan Korea,Japan
A/Norway/807/2017,2017.073,6B.1,unassigned,Europe,Norway
A/Shanghai-Huangpu/13439/2016,2016.93,6B.1,unassigned,China,China
A/Mali/106/2017,2017.453,6B.1,unassigned,Africa,Mali
A/Mali/99/2017,2017.393,6B.1,unassigned,Africa,Mali
A/Guizhou-Qingzhen/1331/2017,2017.311,6B.1,unassigned,China,China
A/Zhejiang-Lucheng/SWL1217/2017,2017.163,6B.1,unassigned,China,China
A/HongKong/3650/2017,2017.549,6B.1,unassigned,China,Hong Kong
A/Yokohama/141/2017,2017.508,6B.1,unassigned,Japan Korea,Japan
A/Suriname/2158/2017,2017.547,6B.1,unassigned,South America,Suriname
A/Lao/1673/2017,2017.39,6B.1,unassigned,Southeast Asia,Laos
A/NewJersey/25/2017,2017.404,6B.1,unassigned,North America,USA
A/Togo/1107/2017,2017.832,6B.1,unassigned,Africa,Togo
A/Yunnan-Mengzi/SWL1664/2017,2017.582,6B.1,unassigned,China,China
A/BurkinaFaso/7/2017,2017.207,6B.1,unassigned,Africa,Burkina Faso
A/Shiga/29/2017,2017.396,6B.1,unassigned,Japan Korea,Japan
A/Vietnam/Lisn163/2017,2017.629,6B.1,unassigned,Southeast Asia,Vietnam
A/Taiwan/683/2016,2016.209,6B.1,unassigned,China,Taiwan
A/Taiwan/533/2016,2016.157,6B.1,unassigned,China,Taiwan
A/Wellington/6/2016,2016.551,6B.1,unassigned,Oceania,New Zealand
A/Austria/896294/2016,2015.996,6B.1,unassigned,Europe,Austria
A/Wakayama-C/131/2016,2016.337,6B.1,unassigned,Japan Korea,Japan
A/Texas/157/2016,2016.225,6B.1,unassigned,North America,USA
A/Hyogo/1060/2017,2017.44,6B.1,unassigned,Japan Korea,Japan
A/SouthAfrica/R07347/2017,2017.56,6B.1,unassigned,Africa,South Africa
A/Bahrain/263/2017,2017.407,6B.1,unassigned,West Asia,Bahrain
A/Pakistan/95/2017,2017.936,6B.1,unassigned,West Asia,Pakistan
A/Yokohama/121/2017,2017.201,6B.1,unassigned,Japan Korea,Japan
A/SaudiArabia/NK3106091/2017,2017.201,6B.1,unassigned,West Asia,Saudi Arabia
A/NewZealand/591/2017,2017.489,6B.1,unassigned,Oceania,New Zealand
A/Mozambique/297/2017,2017.645,6B.1,unassigned,Africa,Mozambique
A/India/2639/2017,2017.064,6B.1,unassigned,South Asia,India
A/India/8161/2017,2017.478,6B.1,unassigned,South Asia,India
A/India/9574/2016,2016.96,6B.1,unassigned,South Asia,India
A/Switzerland/202349/2017,2017.503,6B.1,unassigned,Europe,Switzerland
A/Tak/68/2017,2017.437,6B.1,unassigned,Southeast Asia,Thailand
A/Yokohama/136/2017,2017.319,6B.1,unassigned,Japan Korea,Japan
A/Canterbury/3/2017,2017.201,6B.1,unassigned,Oceania,New Zealand
A/SaudiArabia/246644/2017,2017.152,6B.1,unassigned,West Asia,Saudi Arabia
A/Bangladesh/1012/2017,2017.314,6B.1,unassigned,South Asia,Bangladesh
A/Maldives/71/2017,2017.097,6B.1,unassigned,South Asia,Maldives
A/Maldives/446/2017,2017.215,6B.1,unassigned,South Asia,Maldives
A/Bahrain/211/2017,2017.3,6B.1,unassigned,West Asia,Bahrain
A/Perth/10/2017,2017.064,6B.1,unassigned,Oceania,Australia
A/Arizona/33/2017,2017.347,6B.1,unassigned,North America,USA
A/Philippines/212/2017,2017.3,6B.1,unassigned,Southeast Asia,Philippines
A/Georgia/17/2017,2017.489,6B.1A,unassigned,North America,USA
A/Paris/1447/2017,2017.801,6B.1A,unassigned,Europe,France
A/HongKong/4997/2017,2017.947,6B.1A,unassigned,China,Hong Kong
A/Kuwait/4004/2017,2017.815,6B.1A,unassigned,West Asia,Kuwait
A/Yunnan-Zhaoyang/SWL1367/2018,2018.27,6B.1A,unassigned,China,China
A/Zhejiang-Yuecheng/SWL143/2018,2018.012,6B.1A,unassigned,China,China
A/Stockholm/41/2017,2017.752,6B.1A,unassigned,Europe,Sweden
A/Gwangju/782/2017,2017.905,6B.1A,unassigned,Japan Korea,South Korea
A/Maldives/1499/2017,2017.966,6B.1A,unassigned,South Asia,Maldives
A/India/9358/2017,2017.549,6B.1A,unassigned,South Asia,India
A/Hunan-Wuling/1468/2018,2018.182,6B.1A,unassigned,China,China
A/Townsville/1/2018,2018.111,6B.1A,unassigned,Oceania,Australia
A/India/7078/2017,2017.396,6B.1A,unassigned,South Asia,India
A/Sydney/223/2017,2017.922,6B.1A,unassigned,Oceania,Australia
A/India/9929/2017,2017.815,6B.1A,unassigned,South Asia,India
A/HongKong/4820/2017,2017.807,6B.1A,unassigned,China,Hong Kong
A/Switzerland/707/2018,2018.012,6B.1A,unassigned,Europe,Switzerland
A/NewZealand/2388/2017,2017.651,6B.1A,unassigned,Oceania,New Zealand
A/Texas/281/2017,2017.601,6B.1A,unassigned,North America,USA
A/Taiwan/1437/2017,2017.845,6B.1A,unassigned,China,Taiwan
A/Taiwan/401/2017,2017.388,6B.1A,unassigned,China,Taiwan
A/Sichuan-Gaoxin/SWL537/2017,2017.705,6B.1A,unassigned,China,China
A/NewMexico/19/2017,2017.61,6B.1A,unassigned,North America,USA
A/Perth/339/2017,2017.853,6B.1A,unassigned,Oceania,Australia
A/Yamaguchi/2/2018,2018.01,6B.1A,unassigned,Japan Korea,Japan
A/Osaka-C/10/2018,2018.086,6B.1A,unassigned,Japan Korea,Japan
A/Yokohama/81/2018,2018.273,6B.1A,unassigned,Japan Korea,Japan
A/Yokohama/198/2017,2017.944,6B.1A,unassigned,Japan Korea,Japan
A/Phetchaburi/1136/2018,2018.462,6B.1A,unassigned,Southeast Asia,Thailand
A/Lao/2649/2018,2018.752,6B.1A,unassigned,Southeast Asia,Laos
A/Vietnam/Lisn18328/2018,2018.834,6B.1A,unassigned,Southeast Asia,Vietnam
A/Lao/220/2018,2018.078,6B.1A,unassigned,Southeast Asia,Laos
A/Oman/3192/2017,2017.44,6B.1A,unassigned,West Asia,Oman
A/Yamanashi/17210/2017,2017.667,6B.1A,unassigned,Japan Korea,Japan
A/Wyoming/23/2017,2017.81,6B.1A,unassigned,North America,USA
A/Cambodia/1161/2017,2017.988,6B.1A,unassigned,Southeast Asia,Cambodia
A/Cambodia/1095/2017,2017.933,6B.1A,unassigned,Southeast Asia,Cambodia
A/India/4769/2018,2018.136,1,unassigned,South Asia,India
A/Zambia/301/2017,2017.108,1,unassigned,Africa,Zambia
A/Louisiana/62/2017,2017.853,1,unassigned,North America,USA
A/Minnesota/34/2018,2018.319,1,unassigned,North America,USA
A/Wellington/3/2018,2018.393,1,unassigned,Oceania,New Zealand
A/NewJersey/13/2018-egg,2018.133,1,unassigned,North America,USA
A/NewJersey/13/2018,2018.133,1,unassigned,North America,USA
A/CzechRepublic/1928/2018,2018.788,1,unassigned,Europe,Czech Republic
A/Ulsan/1424/2018,2018.366,1,unassigned,Japan Korea,South Korea
A/Brisbane/2/2018-egg,2018.248,1,unassigned,Oceania,Australia
A/Brisbane/2/2018,2018.01,1,unassigned,Oceania,Australia
A/Wyoming/8/2018,2018.084,1,unassigned,North America,USA
A/Sweden/82/2017,2017.949,1,unassigned,Europe,Sweden
A/India/322/2017,2017.59,1,unassigned,South Asia,India
A/Yekaterinburg/472/2018,2018.3,1,unassigned,West Asia,Russia
A/India/4316/2018,2018.27,1,unassigned,South Asia,India
A/Shenzhen/2019-14203/2018,2018.105,1,unassigned,China,China
A/Ulaanbaatar/527/2018,2018.103,1,unassigned,West Asia,Mongolia
A/Uganda/525/2018,2018.021,1,unassigned,Africa,Uganda
A/Zamyn-Uud/1620/2018,2018.388,1,unassigned,West Asia,Mongolia
A/Yunnan-Linxiang/1557/2019,2019.481,1,unassigned,China,China
A/Dundgovi/1639/2018,2018.429,1,unassigned,West Asia,Mongolia
A/Yasothon/81/2018,2018.259,1,unassigned,Southeast Asia,Thailand
A/Sydney/9/2018,2018.062,1,unassigned,Oceania,Australia
A/Townsville/3/2018,2018.193,1,unassigned,Oceania,Australia
A/Townsville/6/2018,2018.284,1,unassigned,Oceania,Australia
A/Lao/323/2019,2019.084,1,unassigned,Southeast Asia,Laos
A/Lao/3795/2017,2017.752,1,unassigned,Southeast Asia,Laos
A/Victoria/9/2018,2018.621,1,unassigned,Oceania,Australia
A/Suriname/288/2018,2018.634,1,unassigned,South America,Suriname
A/Austria/1031627/2017,2017.993,1,unassigned,Europe,Austria
A/Pakistan/456/2018,2018.04,6B.1A,unassigned,West Asia,Pakistan
A/SouthAfrica/R10451/2018,2018.519,6B.1A,unassigned,Africa,South Africa
A/SouthAfrica/R09607/2018,2018.484,6B.1A,unassigned,Africa,South Africa
A/Swansea/7064/2018,2018.152,6B.1A,unassigned,Europe,United Kingdom
A/RostovOnDon/3171/2017,2017.719,6B.1A,unassigned,West Asia,Russia
A/Trinidad/2176/2017,2017.667,6B.1A,unassigned,South America,Trinidad and Tobago
A/Lisbon/6/2018,2018.029,6B.1A,unassigned,Europe,Portugal
A/RethymnoGRC/1123/2018,2018.281,6B.1A,unassigned,Europe,Greece
A/Denmark/94/2018,2018.051,6B.1A,unassigned,Europe,Denmark
A/Wisconsin/104/2018,2018.664,6B.1A,unassigned,North America,USA
A/BurkinaFaso/906/2018,2018.155,6B.1A,unassigned,Africa,Burkina Faso
A/Nigeria/3406/2018,2018.177,6B.1A,unassigned,Africa,Nigeria
A/Malta/32342/2017,2017.999,6B.1A,unassigned,Europe,Malta
A/DominicanRepublic/514/2018,2018.448,6B.1A,unassigned,North America,Dominican Republic
A/Togo/210/2019,2019.062,6B.1A,unassigned,Africa,Togo
A/England/62/2017,2017.61,6B.1A,unassigned,Europe,United Kingdom
A/Ratchaburi/47/2018,2018.147,6B.1A,unassigned,Southeast Asia,Thailand
A/Bangkok/99/2018,2018.368,6B.1A,unassigned,Southeast Asia,Thailand
A/SaudiArabia/463062/2018,2018.651,6B.1A,unassigned,West Asia,Saudi Arabia
A/Peru/7118/2018,2018.174,6B.1A,unassigned,South America,Peru
A/Meknes/217/2018,2018.949,6B.1A,unassigned,Africa,Morocco
A/Bolivia/1912/2018,2018.678,6B.1A,unassigned,South America,Bolivia
A/Suriname/167/2018,2018.448,6B.1A,unassigned,South America,Suriname
A/VinaDelMar/93229/2018,2018.829,6B.1A,unassigned,South America,Chile
A/Catalonia/NSVH110673676/2018,2018.585,6B.1A,unassigned,Europe,Spain
A/Colombia/2555/2018,2018.914,6B.1A,unassigned,South America,Colombia
A/Taiwan/79730/2018,2018.815,6B.1A,unassigned,China,Taiwan
A/AbuDhabi/186/2017,2017.867,6B.1A,unassigned,West Asia,United Arab Emirates
A/Idaho/7/2018,2018.116,6B.1A,unassigned,North America,USA
A/Santiago/108999/2018,2018.971,6B.1A,unassigned,South America,Chile
A/Florida/85/2018-egg,2018.714,6B.1A,unassigned,North America,USA
A/Austria/1039409/2018,2018.084,6B.1A,unassigned,Europe,Austria
A/Yokohama/149/2017,2017.823,6B.1A,unassigned,Japan Korea,Japan
A/Okinawa/17T094/2018,2018.607,6B.1A,unassigned,Japan Korea,Japan
A/Norway/2681/2018,2018.289,6B.1A,unassigned,Europe,Norway
A/Maine/38/2018,2018.747,6B.1A,unassigned,North America,USA
A/Kanagawa/IC1848/2019-egg,2019.048,6B.1A,unassigned,Japan Korea,Japan
A/Kanagawa/IC1848/2019,2019.048,6B.1A,unassigned,China,China
A/HongKong/110/2019,2019.001,6B.1A,unassigned,China,Hong Kong
A/Newcastle/46/2019,2019.196,6B.1A,unassigned,Oceania,Australia
A/Darwin/102/2019-egg,2019.218,6B.1A,unassigned,Oceania,Australia
A/Darwin/102/2019,2019.218,6B.1A,unassigned,Oceania,Australia
A/Wellington/8/2018,2018.519,6B.1A,unassigned,Oceania,New Zealand
A/Ayutthaya/225/2019,2019.347,6B.1A,unassigned,Southeast Asia,Thailand
A/Tokyo/18049/2018,2018.423,6B.1A,unassigned,Japan Korea,Japan
A/Qatar/16-vi-18-0040447/2018,2018.552,6B.1A,unassigned,West Asia,Qatar
A/Poland/6732/2019,2019.056,6B.1A,unassigned,Europe,Poland
A/AbuDhabi/56/2019,2019.368,6B.1A,unassigned,West Asia,United Arab Emirates
A/Finland/90/2019,2019.152,6B.1A,unassigned,Europe,Finland
A/Greece/351/2019,2019.097,6B.1A,unassigned,Europe,Greece
A/Washington/179/2018,2018.563,6B.1A,unassigned,North America,USA
A/Aichi/190/2018,2018.333,6B.1A,unassigned,Japan Korea,Japan
A/Taiwan/81169/2018,2018.897,6B.1A,unassigned,China,Taiwan
A/Taiwan/80642/2018,2018.388,6B.1A,unassigned,China,Taiwan
A/Townsville/21/2018,2018.585,6B.1A,unassigned,Oceania,Australia
A/Victoria/251/2018,2018.755,6B.1A,unassigned,Oceania,Australia
A/Wakayama/96/2018,2018.722,6B.1A,unassigned,Japan Korea,Japan
A/Taiwan/79432/2018,2018.5,6B.1A,unassigned,China,Taiwan
A/Yokohama/99/2018,2018.725,6B.1A,unassigned,China,China
A/Ontario/RV2293/2017,2017.686,6B.1A,unassigned,North America,Canada
A/SriLanka/3/2018,2018.012,6B.1A,unassigned,South Asia,Sri Lanka
A/India/3196/2018,2018.188,6B.1A,unassigned,South Asia,India
A/StPetersburg/RII-562/2018,2018.938,6B.1A,unassigned,West Asia,Russia
A/Zambia/1-364/2018,2018.675,6B.1A,unassigned,Africa,Zambia
A/Guatemala/87/2019,2019.44,6B.1A,unassigned,North America,Guatemala
A/Louisiana/1/2020,2020.01,6B.1A,unassigned,North America,USA
A/Norway/2475/2019,2019.875,6B.1A,unassigned,Europe,Norway
A/Mexico/2424/2019,2019.563,6B.1A,unassigned,North America,Mexico
A/Wisconsin/565/2019,2019.705,6B.1A,unassigned,North America,USA
A/Ireland/32105/2019,2019.253,6B.1A,unassigned,Europe,Ireland
A/Parma/7/2019,2019.023,6B.1A,unassigned,Europe,Italy
A/Croatia/5562/2018,2018.952,6B.1A,unassigned,Europe,Croatia
A/Netherlands/1293/2019,2019.267,6B.1A,unassigned,Europe,Netherlands
A/Ireland/84816/2018,2018.911,6B.1A,unassigned,Europe,Ireland
A/Valladolid/8/2019,2019.021,6B.1A,unassigned,Europe,Spain
A/Wellington/3/2019,2019.248,6B.1A,unassigned,Oceania,New Zealand
