sequence_id,date
A/Guatemala/228/2017,2017.464
A/Bangladesh/8007/2017,2017.371
A/Oman/5468/2016,2016.51
A/Finland/725/2016,2016.952
A/Norway/4112/2016,2016.643
A/SouthCarolina/4/2017,2017.045
A/Uruguay/14/2017,2017.084
A/Singapore/TT0555/2017,2017.36
A/Netherlands/3112/2017,2017.314
A/Victoria/1000/2017,2017.073
A/Parana/99/2017,2017.127
A/Colombia/5238/2017,2017.588
A/India/9930/2017,2017.821
A/SaudiArabia/VRG-04/2017,2017.412
A/Oman/5186/2017,2017.752
A/Pakistan/178/2017,2017.582
A/Paris/1379/2017,2017.719
A/Texas/290/2017,2017.796
A/Paris/1340/2017,2017.662
A/Philippines/189/2018,2018.136
A/AbuDhabi/134/2018,2018.785
A/Sydney/22/2018,2018.168
A/Madagascar/1123/2018,2018.232
A/Wisconsin/95/2018,2018.585
A/Victoria/9/2019,2019.081
A/HongKong/2060/2018,2018.722
A/Nagano/2731/2017,2017.908
A/SriLanka/94/2017,2017.914
A/Canterbury/4/2018,2018.445
A/Georgia/714/2017,2017.552
A/HongKong/4829/2017,2017.807
A/Bangladesh/1371/2018,2018.56
A/Bangladesh/723/2018,2018.653
A/Maldives/1068/2017,2017.7
A/Yokohama/145/2017,2017.741
A/Philippines/758/2017,2017.689
A/Zhejiang-Nanhu/1745/2017,2017.695
A/Nonthaburi/182/2017,2017.626
A/Bangladesh/2171/2017,2017.448
A/Lithuania/MB10772/2018,2018.256
A/Sydney/13/2018,2018.007
A/Vietnam/Lisn131/2017,2017.566
A/Tokyo/17185/2017,2017.456
A/HongKong/2286/2017,2017.941
A/HongKong/2286/2017-egg,2017.941
A/Afghanistan/616/2017,2017.9
A/Afghanistan/833/2017,2017.941
A/Wisconsin/327/2017,2017.725
A/Oman/5101/2017,2017.738
A/Yokosuka/26/2017,2017.801
A/Wellington/1/2018,2018.311
A/NewZealand/2391/2017,2017.67
A/Victoria/653/2017,2017.607
A/Victoria/653/2017-egg,2017.607
A/Victoria/899/2017,2017.777
A/India/4658/2018,2018.086
A/India/4667/2018,2018.24
A/Lao/4043/2017,2017.79
A/Lopburi/172/2018,2018.656
A/Chanthaburi/1363/2018,2018.538
A/Bangladesh/2/2017,2017.588
A/Bangladesh/2097/2017,2017.497
A/HongKong/3630/2017,2017.549
A/Townsville/18/2017,2017.993
A/Wakayama-C/107/2017,2017.612
A/Florida/52/2017,2017.59
A/Trang/2627/2017,2017.944
A/Cambodia/1054/2017,2017.905
A/Vietnam/GHS180004/2018,2018.012
A/Vladimir/191/2018,2018.347
A/Yokohama/181/2017,2017.908
A/Yunnan-Linxiang/1594/2018,2018.407
A/NewCaledonia/8/2018,2018.16
A/Maldives/1471/2017,2017.952
A/Oman/1759/2018,2018.19
A/Oman/943/2018,2018.086
A/CzechRepublic/1060/2019,2019.19
A/Lebanon/661/2018,2018.908
A/Lebanon/560/2018,2018.67
A/Bangladesh/155/2018,2018.018
A/Bhutan/742/2018,2018.719
A/India/534/2019,2019.273
A/Nonthaburi/329/2018,2018.834
A/SriLanka/55/2018,2018.87
A/SriLanka/45/2018,2018.763
A/SouthDakota/44/2018,2018.738
A/Srinigar/AG313/2019,2018.999
A/Srinigar/AG480/2019,2019.053
A/Minnesota/58/2018,2018.889
A/Estonia/119717/2019,2019.16
A/Poland/3029/2019,2019.152
A/Iasi/243581/2019,2019.177
A/Mogilev/1315/2019,2019.177
A/AbuDhabi/240/2018-egg,2018.001
A/AbuDhabi/240/2018,2018.001
A/NorthCarolina/36/2018,2018.256
A/Jiangxi-Zhushan/1657/2018,2018.632
A/Beijing-Huairou/1557/2018,2018.174
A/HongKong/681/2018,2018.27
A/Townsville/23/2018,2018.552
A/HongKong/45/2019,2018.979
A/HongKong/121/2019,2019.004
A/Zhejiang-Lucheng/1951/2019,2019.774
A/Zhejiang-Yongkang/1235/2019,2019.212
A/DistrictOfColumbia/3/2019,2019.007
A/Mahasarakham/51/2019,2019.086
A/Lao/1214/2019,2019.347
A/Mahasarakham/116/2019,2019.171
A/Oman/4518/2019,2019.544
A/Bangladesh/3055/2019,2019.388
A/Yokohama/237/2019,2019.9
A/Philippines/1551/2019,2019.87
A/Finland/140/2019,2019.914
A/Bangladesh/1582/2019,2019.478
A/Kuwait/5141/2019,2019.766
A/Philippines/1372/2019,2019.768
A/Darwin/726/2019,2019.755
A/Delaware/39/2019,2019.404
A/Zambia/700159/2021,2021.423
A/Zambia/305/2021,2021.259
A/Kenya/143/2021,2021.686
A/Pennsylvania/1033/2019,2019.922
